217,11,250,24,721,
166,90,7,64,406,
174,82,5,64,405,
128,45,23,55,925,
182,90,3,64,406,
68,46,368,7,659,
166,82,1,64,406,
166,82,5,64,406,
166,90,7,64,406,
166,90,7,64,406,
174,90,3,64,406,
166,90,5,64,406,
166,82,5,64,406,
196,46,243,112,696,
230,82,5,64,406,
166,82,5,64,406,
166,82,1,64,406,
128,45,23,55,925,
230,82,5,64,406,
128,45,23,55,925,
128,45,23,55,925,
128,45,23,55,925,
128,45,23,55,925,
128,45,23,55,925,
230,82,5,64,406,
166,90,1,64,406,
128,45,23,55,925,
128,45,23,55,925,
68,46,368,7,659,
128,45,23,55,925,
166,90,3,64,406,
174,90,3,64,406,
166,82,5,64,406,
230,82,5,64,406,
246,82,5,65,406,
166,90,7,64,406,
230,82,5,65,406,
230,82,5,64,406,
230,82,5,64,406,
217,11,250,24,657,
166,114,5,64,406,
68,46,368,7,659,
196,46,243,112,696,
166,82,1,64,406,
217,11,250,24,657,
230,82,5,64,406,
230,82,5,1,406,
68,46,368,7,659,
174,82,5,64,405,
166,90,7,64,406,
166,90,3,64,406,
166,90,7,64,406,
68,46,368,7,659,
174,90,3,64,406,
68,46,368,7,659,
230,82,5,64,406,
166,90,5,64,406,
230,82,5,65,406,
166,82,5,64,406,
166,90,3,64,406,
166,90,7,64,406,
166,90,7,64,406,
196,46,243,112,696,
174,90,3,64,406,
166,90,7,64,406,
166,82,5,64,406,
217,11,250,24,657,
230,82,5,65,406,
166,90,5,64,406,
166,82,5,64,406,
68,46,368,7,659,
68,46,368,7,659,
166,90,3,64,406,
174,90,19,64,406,
166,82,5,64,406,
68,46,368,7,659,
174,82,5,64,405,
68,46,368,7,659,
196,46,243,112,696,
217,11,250,24,657,
196,46,243,112,696,
230,82,5,64,406,
174,82,5,64,405,
166,82,5,64,406,
217,98,209,83,765,
166,90,7,64,406,
166,90,5,64,406,
166,82,5,64,406,
230,82,5,64,406,
54,28,441,11,619,
62,52,425,1,569,
76,12,392,3,587,
166,90,7,64,406,
166,90,7,64,406,
136,59,103,17,594,
166,90,7,64,406,
166,82,5,64,406,
166,90,4,64,406,
26,69,228,45,698,
9,89,32,71,563,
